,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Constellation,Distance,Mass,Radius
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,2.1,1.71´,25.4,21,SDSS J015141.69+124429.6,,70,0.044865636,0.09968011
2,Canopus,0310,15,71,"13,500"
3,Alpha Centauri,0004.4,1.1,1.2,2,26,2MASS J02103857-3015313,,101,0.01431882,0.15722739
4,Arcturus,0037,1.1,26,170
5,Vega,0025,2.2,2.7,50,27,2MASS J02340093-6442068,,155,0.01909176,0.16647606
6,Capella,0043,2.6,12,150
7,Rigel,0860,23,78.9,"120,000",30,LP 771-21,,53,0.074457864,1.08
8,Procyon,0011.4,1.5,1.9,7.7
9,Betelgeuse,0640[1],20,950,"60,000",31,2MASS J02511327+0047364,,,,
10,Achernar,0144,6.7,9.3,"3,000"
11,Hadar,0390,10.5,8.6,"42,000",33,2MASS J02535980+3206373,,184,0.06204822,0.1952497
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,18,8.9,"25,000",37,2MASS J03205965+1854233,,47,0.084003744,0.11817745
14,Aldebaran,0065,1.5,44,520
15,Antares,0600,12,680,"75,000",38,2MASS J03231002-4631237,,192,0.021955524,0.17058658
16,Spica,0260,11.43,7.47,"20,512"
17,Pollux,0034,1.9,8.8,43,39,SDSS J032553.17+042540.1,,59,0.04295646,0.09762485
18,Fomalhaut,0025,1.9,1.8,16.6
19,Deneb,"2,600",19,203,"200,000",42,2MASS J03341218-4953322,,27,0.069684924,0.10687352
20,Mimosa,0350,16,8.4,"34,000"
21,Regulus,0077,3.8,3.1,290,44,2MASP J0345432+254023,,88,0.070639512,0.10790115
22,Adhara,0430,12.5,14,"39,000"
23,Shaula,0700,14.5,8.8,"36,000",46,2MASS J03510004-0052452,,48,0.097367976,0.13050901
24,Castor,0052,2.8,2.4,30
25,Gacrux,0088,1.5,84,820,52,2MASS J04351612-1606574,,34,0.0954588,0.12948138
26,Bellatrix,0240,8.6,5.8,"9,200"
27,Elnath,0130,5.0,4.2,700,53,2MASS J04362788-4114465,,142,0.037228932,0.20244311
28,Miaplacidus,0110,3.5,6.8,290
29,Alnilam,"2,000",32,42,"380,000",55,2MASS J04414489+2301513,,470,0.018137172,
30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,Alnair,0101,4.0,3.4,260,56,2MASS J04433764+0002040,,82,0.021000936,0.18291814
32,Alioth,0081,2.9,4.2,110
33,Alnitak,01050,33,20,"120,000",64,SDSS J053951.99-005902.0,,41.62,0.058229868,0.10379063
34,Dubhe,0120,4.25,30,300
35,Mirfak,0590,8.5,68,"5,000",67,2MASS J06085283-2753583,,102,0.036274344,0.15517213
36,Wezen,"1,600",17,200,"82,000"
37,Sargas,0270,5.7,26,"1,800",68,WISEP J061135.13-041024.0A,,69,0.06204822,
38,Kaus Australis,0140,3.5,6.8,360
39,Avior,0630,9.0,130,"60,000",69,WISEP J061135.13-041024.0B,,69,0.050593164,
40,Alkaid,0104,6.1,3.4,"1,350"
41,Menkalinan,081,2.39,2.77,50,74,2MASS J07075327-4900503,,60,0.068730336,0.10584589
42,Atria,0390,7,92,"5,500"
43,Alhena,0109,2.8,3.3,120,81,2MASS J07522390+1612157,,60,0.001918722,6.987884
44,Peacock,0180,5.9,4.8,"2,200"
45,Alsephina[2],0080,2.4,2.9,90,87,LHS 2021,,55,0.084003744,0.11817745
46,Mirzam,0500,13.5,10,"27,000"
47,Polaris,0430,5.4,39,"2,500",91,2MASS J08533619-0329321,,27.6,0.073503276,0.10995641
48,Alphard,0180,3.0,50,780
49,Mintaka,01200,24,16.5,"190,000",97,2MASS J10073369-4555147,,46,0.042001872,0.09659722
50,Scheat,0196,2.1,95,"1,500"
51,Almaaz,0653,15,140,"43,000",100,SDSS J102109.69-030420.1,,95,,
52,Rasalgethi,0360,2.8,280,"8,300"
53,Tau Ceti,011.9,0.783,0.893,0.52,108,TWA 28,,180,0.034365168,0.24560357
54,Delta Pavonis,019.92,0.991,1.22,1.22
55,Ran,010.48,0.82,0.74,0.34,111,SDSS J111010.01+011613.1,,63,0.008591292,0.12742612
56,V382 Carinae,"08,900",20,485,"212,000"
57,Eta Carinae,"07,500",100,60–881,"5,000,000",113,TWA 26,,137,0.02863764,0.2260786
58,Delta Cephei,0887,4.5,44.5,"2,000"
59,Mu Cephei,"06,000",19.2,972,"135,000",114,2MASSW J1146345+223053,,89,,
60,Titawin,044.25,1.27,1.48,3.57
61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000",117,TWA 27A,,,,
62,P Cygni,"05,545",30,76,"610,000"
63,La Superba,"01,000",,129 - 342,"2,472 - 5,800",118,TWA 27B,,,,
64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
65,61 Cygni,011.41,0.7,0.665,0.153,119,2MASS J12074836-3900043,,217,0.016227996,0.17572473
66,R Doradus,0178,0.7 - 1.0,298,"4,350"
67,Polaris Australis,0281,1.59,3.74,38,121,2MASS J12255432-2739466,,43,,
68,R Coronae Borealis,"04,566",0.85,85,"10,000"
69,54 Piscium,036.1,0.76,0.94,0.52,125,TWA 29,,262,0.001909176,2.569075
70,Mira,0300,1.2,370,"9,000"
71,RW Cephei,"014,000",13.9,"1,158","417,000",129,2MASS J13204427+0409045,,101,0.063957396,0.10379063
72,Lacaille 8760,012.87,0.6,0.51,0.072
73,V838 Monocerotis,"019,896",?,380 - 750,"15,000",132,2MASS J13595510-4034582,,51,0.060139044,0.102763
74,HD 140283,0190,?,1.4,3.83
75,II Pegasi,0130,0.8,3.4,1.06,133,ULAS J141623.94+134836.3,,29.7,0.030546816,0.09865248
76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
77,Pistol Star,"025,000",100,320,"1,700,000",137,2MASS J14392837+1929150,,47,0.068730336,0.10584589
78,S Doradus,"0169,000",24,380,"910,000"
79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100",138,LSPM J1440+1339,,72,0.087822096,0.12228797
80,Barnard's Star,05.98,0.14,0.20,0.0035
81,Luhman 16,06.52,0.04,?,?,144,CFBDS J150411+102717,,71,0.042001872,0.09659722
82,Proxima Centauri,04.25,0.12,0.15,0.0017
83,KIC 8462852,"01,470",1.43,1.58,4.68,147,TVLM 868-110639,,53,0.075412452,0.11098404
84,R136a1,"0163,000",290,32,"8,710,000"
85,Melnick 42,"0163,000",189,21.1,"3,600,000",159,WISEPA J164715.59+563208.2,,28,0.039138108,0.09659722
86,WR 102,"018,134",19,0.39,"282,000"
87,VFTS 352,"0164,000",57.48,14.47,"330,000",161,2MASSI J1726000+153819,,114,0.022910112,0.1438682
88,YBP 1194,"02,772",1.01,0.99,0.98
89,Gliese 1214,047.5,0.16,0.21,0.0033,162,2MASSW J1728114+394859,,79,,
90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
91,VB 10,018.72,0.075,0.10,0.0004,163,SDSSp J175032.96+175903.9,,90,0.044865636,0.09968011
92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
93,TRAPPIST-1,039.6,0.089,0.12,0.0005,164,2MASS J18283572-4849046,,39,0.04295646,0.09762485
94,2MASS J0523-1403,040.3,0.07,0.086,0.00013
95,WISE 0855−0714,07.27,0.003,?,?,166,2MASSW J1841086+311727,,138,0.063957396,0.10379063
96,Icarus,"014,400,000,000",33,?,"850,000"
